DATA;PRECIPITACAO_TOTAL;PRESSAO_ATMOSFERICA;TEMPERATURA_PONTO_ORVALHO;TEMPERATURA_MAXIMA;TEMPERATURA_MEDIA;TEMPERATURA_MINIMA;UMIDADE_RELATIVA;UMIDADE_RELATIVA;VENTO;VELOCIDADE_VENTO;
2018-01-01;0;918.520833;18.929167;31.4;23.829167;19.1;75.958333;43;10.8;1.5375;
2018-01-02;.4;916.429167;18.4125;32.4;22.854167;18.8;79.041667;35;17.8;1.7625;
2018-01-03;4.6;916.4875;19.666667;30.8;21.9;20.1;88.208333;47;12.2;1.2625;
2018-01-04;3.4;918.845833;19.366667;28;22.4625;19.8;83.708333;55;7.3;1.475;
2018-01-05;0;920.358333;17.633333;29.4;23.391667;17.9;73.208333;43;9.6;2.483333;
2018-01-06;0;920.225;17.004167;28.6;21.983333;17.2;75.583333;43;7.6;2.1125;
2018-01-07;0;919.316667;16.570833;29.9;22.445833;17.9;71.833333;34;8.3;2.4125;
2018-01-08;0;920.483333;14.841667;30;22.575;16.5;64.666667;35;9.1;3;
2018-01-09;0;921.766667;16.2375;30;22.5;16.1;70.166667;42;9.7;3.058333;
2018-01-10;.2;922.241667;18.591667;27;21.695833;19;83.125;59;11.2;3.358333;
2018-01-11;.6;921.695833;15.595833;29.3;21.945833;15.6;70.625;39;10;3.2;
2018-01-12;0;919.75;16.320833;30.6;21.704167;15.7;74.5;39;10.8;2.066667;
2018-01-13;2.8;918.85;17.425;30.7;23.8375;19.2;70.291667;38;9.3;2.570833;
2018-01-14;0;919.870833;16.5875;30.5;23.833333;18.7;66.916667;39;8.1;2.533333;
2018-01-15;0;920.541667;16.520833;30.2;23.4125;18.9;68.291667;35;9.4;2.7375;
2018-01-16;0;921.05;13.291667;31.7;23.7875;17.4;58;24;10;3.095833;
2018-01-17;0;921.045833;13.479167;30.2;22.729167;15;60.166667;27;12.6;3.379167;
2018-01-18;0;921.404167;15.079167;30.3;22.695833;15.8;65.291667;37;10.9;3.104167;
2018-01-19;0;921.0125;14.845833;31.9;23.3;16.5;63.791667;21;9.6;3.0125;
2018-01-20;0;919.9125;14.275;32.4;24.154167;18;58.916667;21;10.6;3.091667;
2018-01-21;0;919.1875;13.3375;32.5;23.891667;16.7;57.708333;19;8.9;2.708333;
2018-01-22;0;917.9625;13.970833;32.3;23.891667;16.9;58.291667;25;9.8;2.875;
2018-01-23;0;918.345833;14.708333;31.8;23.766667;16.7;61.541667;27;8.7;3.045833;
2018-01-24;0;918.108333;13.358333;31.3;23.420833;15.2;57.875;26;10.2;2.629167;
2018-01-25;0;917.391667;16.366667;30;23.120833;19.3;67.708333;36;9.8;2.983333;
2018-01-26;0;916.995833;15.829167;29.7;22.9;16.6;67.083333;37;10.7;2.095833;
2018-01-27;2.4;917;18.195833;31.2;22.5625;18.7;78.333333;38;11.3;2.25;
2018-01-28;1.4;916.691667;18.179167;31.9;23.770833;18.3;74.458333;36;7.5;1.779167;
2018-01-29;0;916.054167;17.945833;31.8;24.670833;21.4;68.333333;37;7.9;2.541667;
2018-01-30;0;914.841667;16.7;32.2;24.75;17.3;63.458333;37;7;2.091667;
2018-01-31;45.2;916.391667;19.154167;27.2;21.254167;18.9;88.541667;58;10.1;1.379167;
2018-02-01;.6;917.175;18.9;24.1;20.541667;19.5;90.583333;70;15.4;1.720833;
2018-02-02;6.6;915.379167;18.95;30;23.6875;18.7;77.041667;46;8.9;1.808333;
2018-02-03;47.8;915.0125;19.2625;22.8;19.929167;19.2;95.916667;80;11.6;1.604167;
2018-02-04;36;916.045833;19.3;21.3;19.929167;18.3;96.208333;93;9.5;1.895833;
2018-02-05;52;916.1875;19.1875;24.5;20.6375;18.9;91.625;70;10.1;2.366667;
2018-02-06;13.6;916.391667;19.175;28.5;22.420833;19.2;82.958333;54;10;2.525;
2018-02-07;2.8;917.075;19.241667;29.2;23.345833;18.7;79.666667;49;7.2;1.779167;
2018-02-08;0;917.675;19.133333;31;23.45;19.3;79.5;45;13.1;1.5375;
2018-02-09;18.4;919.1375;20.4375;26.7;22.004167;19.7;91.25;63;9.2;1.333333;
2018-02-10;8.2;919.725;18.254167;28.7;22.95;20;77.375;43;6.8;2.020833;
2018-02-11;0;919.7125;17.2375;28.8;22.316667;17.9;75.125;45;8.1;2.445833;
2018-02-12;0;919.258333;15.458333;30;21.895833;14.6;70.375;29;7.4;1.65;
2018-02-13;0;919.741667;16.583333;30.5;23.470833;18.5;68.375;32;7.9;2.2125;
2018-02-14;0;920.958333;16.883333;28.5;22.533333;17.5;72.291667;43;11;2.583333;
2018-02-15;0;922.075;17.541667;29.5;22.2125;18.6;77.083333;45;13.9;3;
2018-02-16;1.6;922.266667;18.004167;26.9;21.479167;18.5;81.708333;58;7.7;2.545833;
2018-02-17;2;920.795833;18.079167;28;21.708333;18.1;81.291667;51;10.6;2.654167;
2018-02-18;.2;919.133333;17.145833;29.6;22.495833;17.2;74.375;43;8.6;2.383333;
2018-02-19;0;917.745833;17.541667;29.7;22.766667;18.3;74.5;44;6.9;2.004167;
2018-02-20;0;917.666667;17.9625;29.1;22.95;18.1;75.125;48;6.3;1.304167;
2018-02-21;0;917.129167;18.904167;31.5;23.920833;19.8;75.583333;37;10.4;1.916667;
2018-02-22;0;917.195833;19.416667;29.3;22.691667;18.5;83.25;49;12;1.379167;
