DATA,P,RH2M,T2M,T2M_MAX,T2M_MIN,WS2M
1990-01-01,3.7464592456817627,82.0,21.98,27.2,17.45,2.0
1990-01-02,0.0,84.44,21.74,25.78,18.18,1.74
1990-01-03,11.239377975463867,86.31,22.15,25.75,18.76,1.67
1990-01-04,3.7464592456817627,91.69,20.55,23.19,18.09,1.88
1990-01-05,3.7464592456817627,88.31,21.13,25.44,17.31,2.14
1990-01-06,0.0,84.25,20.49,25.36,16.9,3.01
1990-01-07,0.0,82.06,19.98,25.12,14.92,2.48
1990-01-08,0.0,81.44,20.23,25.35,15.87,2.16
1990-01-09,0.0,83.0,21.35,26.64,16.76,2.04
1990-01-10,0.0,83.31,22.09,27.1,17.74,2.42
1990-01-11,0.0,82.81,21.7,27.17,17.4,2.72
1990-01-12,0.0,80.75,20.92,26.5,16.45,2.45
1990-01-13,0.0,80.88,20.35,25.91,16.02,2.15
1990-01-14,0.0,83.06,20.56,26.0,15.97,2.02
1990-01-15,0.0,79.88,20.19,26.0,15.81,1.62
1990-01-16,0.0,80.88,20.58,26.3,15.44,1.83
1990-01-17,0.0,83.12,21.19,26.57,16.49,2.06
1990-01-18,0.0,82.0,21.3,26.69,17.05,2.48
1990-01-19,0.0,83.12,21.08,26.63,16.72,2.6
1990-01-20,0.0,82.44,20.8,26.37,15.96,2.25
1990-01-21,0.0,81.81,21.63,27.36,16.68,1.65
1990-01-22,0.0,81.38,22.61,28.06,17.24,1.43
1990-01-23,0.0,79.0,23.16,28.9,18.02,1.72
1990-01-24,0.0,80.94,23.3,29.37,17.97,1.59
1990-01-25,0.0,80.94,22.44,28.4,17.62,2.0
1990-01-26,0.0,80.0,21.64,27.2,17.31,2.51
1990-01-27,4.5924506187438965,81.12,20.51,25.06,16.37,2.38
1990-01-28,0.0,80.31,20.9,26.2,16.05,2.7
1990-01-29,0.0,81.19,21.19,26.81,16.29,3.18
1990-01-30,0.0,81.75,20.99,26.8,16.23,3.14
1990-01-31,0.0,80.81,21.15,26.62,16.83,2.92
1990-02-01,0.0,79.75,21.18,26.58,16.74,3.08
1990-02-02,0.0,79.75,20.94,25.9,16.48,2.84
1990-02-03,0.0,82.06,21.08,26.64,16.44,2.77
1990-02-04,0.0,81.06,20.94,26.34,16.51,2.29
1990-02-05,0.0,79.88,21.78,27.21,17.3,2.85
1990-02-06,0.0,75.31,21.15,26.77,16.59,2.45
1990-02-07,0.0,76.25,20.78,25.93,16.48,1.93
1990-02-08,0.0,74.62,22.01,28.66,15.94,1.76
1990-02-09,0.0,72.12,22.98,29.88,17.2,1.7
1990-02-10,3.5379743576049805,71.06,23.48,30.44,16.94,1.66
1990-02-11,0.0,71.25,23.73,30.68,17.37,1.76
1990-02-12,0.0,72.62,24.13,31.05,18.56,2.01
1990-02-13,7.187780857086182,76.31,23.94,30.08,18.65,1.78
1990-02-14,22.95343589782715,85.5,22.52,27.76,19.4,2.84
1990-02-15,20.885251998901367,87.69,21.85,25.88,18.54,2.88
1990-02-16,13.090832710266113,85.94,22.43,27.01,19.85,3.12
1990-02-17,0.0,86.0,22.39,26.72,19.23,3.72
1990-02-18,0.0,92.44,21.08,23.62,19.25,2.96
1990-02-19,0.0,93.56,21.59,24.02,19.62,1.85
1990-02-20,29.921905517578125,87.94,22.4,27.4,18.55,1.6
1990-02-21,0.0,83.56,22.71,27.61,18.84,2.02
1990-02-22,14.320442199707031,80.69,23.14,28.14,18.17,1.41
1990-02-23,18.897079467773438,86.12,22.4,26.62,18.8,1.76
1990-02-24,0.0,81.88,22.79,27.43,18.8,0.7
1990-02-25,12.54884147644043,82.69,22.69,27.16,19.01,1.74
1990-02-26,0.0,83.0,22.8,28.28,18.14,1.97
1990-02-27,0.0,81.5,22.63,28.37,18.14,2.31
1990-02-28,0.0,78.94,21.3,27.08,16.35,2.81
1990-03-01,0.0,80.81,21.62,27.48,16.98,2.91
1990-03-02,0.0,80.5,21.37,27.31,16.51,2.61
1990-03-03,0.0,79.06,21.26,27.42,16.18,2.2
1990-03-04,0.0,79.5,22.18,28.23,17.24,2.38
1990-03-05,0.0,77.56,22.79,29.01,17.34,2.16
1990-03-06,0.0,77.62,23.39,29.15,18.19,1.94
1990-03-07,0.0,72.31,23.07,30.15,17.4,2.43
1990-03-08,0.0,74.12,22.83,28.91,17.94,2.62
1990-03-09,0.0,72.31,23.09,29.86,18.08,2.75
1990-03-10,0.0,75.56,23.47,30.05,18.19,2.72
1990-03-11,0.0,76.69,23.26,29.63,19.02,2.48
1990-03-12,0.0,70.88,24.05,31.0,18.36,2.07
1990-03-13,0.0,67.62,24.46,32.72,17.56,1.66
1990-03-14,0.0,69.19,25.58,32.82,19.26,1.83
1990-03-15,0.0,69.81,25.88,32.57,20.25,1.98
1990-03-16,0.0,68.62,25.73,33.19,19.69,2.2
1990-03-17,0.0,68.31,25.36,32.4,19.73,2.59
1990-03-18,0.0,63.31,25.03,33.08,19.08,2.74
1990-03-19,0.0,63.69,24.6,33.28,18.33,2.32
1990-03-20,0.0,62.19,24.06,33.19,17.83,2.41
1990-03-21,0.0,57.69,23.65,33.66,15.43,2.19
1990-03-22,0.0,58.0,24.4,34.1,15.27,1.99
1990-03-23,0.0,60.0,25.34,34.15,17.45,2.09
1990-03-24,4.970978736877441,70.75,23.33,29.02,18.62,1.51
1990-03-25,9.941957473754883,68.38,25.14,33.43,18.57,1.49
1990-03-26,0.0,68.38,24.9,31.49,20.48,2.15
1990-03-27,5.313971042633057,62.12,24.89,33.64,18.65,2.7
1990-03-28,0.0,66.75,24.99,33.03,18.44,2.79
1990-03-29,0.0,66.5,25.21,32.36,19.89,3.23
1990-03-30,5.313971042633057,69.69,24.09,31.56,17.51,3.07
1990-03-31,0.0,69.0,23.83,31.76,18.06,2.66
1990-04-01,0.0,65.25,23.59,30.87,17.99,2.31
1990-04-02,0.0,62.81,22.61,30.33,17.76,2.15
1990-04-03,0.0,61.38,24.48,33.92,16.24,1.28
1990-04-04,0.0,63.56,24.57,31.15,18.71,0.8
1990-04-05,31.20074462890625,70.62,24.01,29.52,19.7,1.77
1990-04-06,0.0,60.94,25.23,34.23,18.09,2.3
1990-04-07,0.0,60.12,25.52,34.6,18.84,2.76
1990-04-08,0.0,60.44,24.97,33.58,18.83,3.07
1990-04-09,0.0,57.44,24.84,34.08,17.49,2.33
1990-04-10,0.0,58.94,25.85,34.17,18.3,1.98
1990-04-11,0.0,66.44,25.58,33.69,19.69,2.45
1990-04-12,0.0,74.31,24.41,31.61,19.77,2.65
1990-04-13,0.0,67.19,23.04,31.19,17.84,3.12
1990-04-14,0.0,66.81,23.92,32.55,16.94,2.44
1990-04-15,0.0,63.12,23.81,32.35,16.82,2.54
1990-04-16,0.0,64.25,23.83,31.44,18.3,2.55
1990-04-17,0.0,63.19,22.51,29.64,16.94,2.55
1990-04-18,0.0,63.88,23.78,32.33,16.99,2.54
1990-04-19,0.0,65.69,23.56,30.99,18.03,3.45
1990-04-20,0.0,67.12,22.67,30.29,17.31,3.19
1990-04-21,0.0,75.69,22.33,29.19,17.46,3.14
1990-04-22,0.0,71.31,21.81,29.24,17.19,3.29
1990-04-23,0.0,75.5,22.41,29.84,17.16,3.41
1990-04-24,0.0,70.94,22.72,30.46,16.72,3.21
1990-04-25,0.0,68.38,22.97,30.14,18.11,3.27
1990-04-26,0.0,75.94,22.32,29.48,17.96,3.18
1990-04-27,0.0,67.19,22.23,30.83,16.58,2.28
1990-04-28,0.0,67.31,23.14,31.58,16.87,2.61
1990-04-29,0.0,68.44,23.98,32.6,17.06,2.3
1990-04-30,0.0,63.19,25.19,33.38,18.92,1.79
1990-05-01,0.0,56.0,25.93,35.01,17.85,2.17
1990-05-02,0.0,67.25,25.44,32.45,20.12,1.84
1990-05-03,0.0,72.62,24.58,31.33,20.03,1.77
1990-05-04,5.740057945251465,76.0,22.3,26.43,18.94,2.59
1990-05-05,0.0,65.75,21.62,27.46,17.43,3.18
1990-05-06,0.0,65.38,21.7,28.33,17.2,2.8
1990-05-07,0.0,65.06,22.29,28.8,17.55,2.05
1990-05-08,0.0,66.81,21.48,27.05,17.85,2.12
1990-05-09,0.0,65.69,21.9,29.26,15.91,2.67
1990-05-10,6.513167381286621,66.06,23.48,30.83,17.81,2.62
1990-05-11,0.0,66.62,25.01,32.54,18.77,1.29
1990-05-12,0.0,73.12,24.68,31.51,19.79,1.31
1990-05-13,0.0,77.56,22.33,29.44,17.82,4.07
1990-05-14,0.0,74.62,22.28,29.25,17.34,3.39
1990-05-15,0.0,72.0,23.58,30.94,18.12,2.95
1990-05-16,0.0,64.88,24.62,33.04,18.69,2.66
1990-05-17,0.0,60.0,24.31,33.41,17.98,2.24
1990-05-18,0.0,60.25,25.09,33.84,17.22,2.54
1990-05-19,0.0,59.62,21.99,28.91,17.37,1.98
1990-05-20,0.0,57.94,20.36,28.37,14.6,2.59
1990-05-21,0.0,64.62,22.26,29.98,15.92,1.66
