DATA,P,RH2M,T2M,T2M_MAX,T2M_MIN,WS2M,ALLSKY_SFC_SW_DWN
1990-01-01,0.0,81.56,24.16,29.67,19.65,2.16,17.67
1990-01-02,0.0,81.12,24.62,29.76,19.68,1.79,25.2
1990-01-03,0.0,82.31,25.07,29.82,20.91,2.16,28.94
1990-01-04,0.0,82.75,24.69,29.84,20.35,2.53,22.43
1990-01-05,4.80839729309082,83.94,24.08,29.1,20.16,2.74,21.82
1990-01-06,0.0,81.62,22.77,28.59,18.26,2.45,23.15
1990-01-07,0.0,80.88,22.37,28.13,17.49,2.37,23.15
1990-01-08,0.0,80.44,22.77,28.52,16.82,1.95,27.73
1990-01-09,0.0,80.44,23.95,29.76,18.63,2.27,28.43
1990-01-10,0.0,79.38,24.38,30.29,19.11,2.58,26.95
1990-01-11,0.0,78.56,24.09,30.08,18.98,2.55,26.59
1990-01-12,0.0,77.25,23.77,30.39,17.14,2.42,27.65
1990-01-13,0.0,76.44,23.44,29.57,17.7,2.14,27.82
1990-01-14,0.0,78.25,23.2,29.37,17.71,1.77,26.58
1990-01-15,0.0,76.56,23.18,29.78,16.18,1.82,29.19
1990-01-16,0.0,76.25,23.92,30.05,18.3,2.22,25.78
1990-01-17,0.0,77.06,24.07,30.3,18.55,2.27,26.34
1990-01-18,0.0,77.69,23.96,30.46,18.12,2.36,24.13
1990-01-19,0.0,78.38,23.84,30.07,18.51,2.21,24.06
1990-01-20,5.554384708404541,78.25,24.08,30.45,18.41,1.88,21.96
1990-01-21,0.0,76.56,25.0,32.01,18.92,2.16,27.3
1990-01-22,0.0,72.94,25.87,32.58,20.26,2.3,30.18
1990-01-23,0.0,73.56,26.6,33.89,20.32,2.06,29.7
1990-01-24,0.0,72.38,26.8,34.74,20.44,2.23,24.54
1990-01-25,0.0,70.81,26.05,33.71,19.74,2.29,24.46
1990-01-26,0.0,71.12,25.5,32.74,19.88,2.64,23.13
1990-01-27,0.0,71.88,24.26,30.98,17.94,2.49,23.94
1990-01-28,5.844969272613525,73.0,24.56,32.03,18.18,2.71,22.65
1990-01-29,0.0,72.5,24.55,31.33,19.66,2.77,19.44
1990-01-30,0.0,72.69,25.0,32.3,19.15,2.81,18.01
1990-01-31,0.0,70.94,24.9,32.55,19.08,2.55,22.69
1990-02-01,0.0,71.0,24.6,32.19,18.08,2.62,24.92
1990-02-02,0.0,72.38,24.84,32.26,19.28,2.45,25.05
1990-02-03,0.0,73.5,24.95,32.12,19.42,2.31,26.22
1990-02-04,0.0,73.94,24.58,31.25,19.86,2.09,23.33
1990-02-05,0.0,70.44,24.77,32.01,19.34,2.38,19.16
1990-02-06,0.0,70.19,24.46,32.04,18.15,2.01,24.72
1990-02-07,0.0,67.12,25.48,33.19,18.87,1.9,28.01
1990-02-08,0.0,66.75,26.16,34.24,18.81,1.83,27.91
1990-02-09,0.0,63.81,26.51,35.27,18.6,2.01,25.85
1990-02-10,0.0,65.38,26.62,34.83,19.41,2.02,28.09
1990-02-11,0.0,65.94,26.74,34.8,19.97,2.22,25.57
1990-02-12,0.0,65.0,27.51,35.98,20.6,2.38,29.33
1990-02-13,0.0,65.62,28.11,36.17,21.26,2.31,26.38
1990-02-14,10.722968101501463,76.5,26.88,32.32,21.99,2.09,14.03
1990-02-15,14.26315689086914,78.75,26.55,31.82,22.84,2.34,8.05
1990-02-16,28.85286903381348,80.75,25.86,31.4,22.65,2.66,13.63
1990-02-17,0.0,83.0,25.19,29.57,22.3,2.86,19.72
1990-02-18,0.0,83.69,24.75,29.19,21.38,2.82,23.53
1990-02-19,9.617623329162598,83.94,25.73,31.05,21.94,2.05,19.8
1990-02-20,0.0,86.81,24.34,28.19,21.37,3.18,13.99
1990-02-21,0.0,82.56,24.77,30.26,20.86,2.03,26.03
1990-02-22,0.0,79.94,25.8,31.58,21.3,1.39,28.96
1990-02-23,16.189922332763672,80.94,25.59,29.68,21.65,1.36,20.55
1990-02-24,0.0,82.0,25.36,30.01,22.09,1.53,16.17
1990-02-25,0.0,76.44,26.19,32.12,21.9,2.19,25.12
1990-02-26,0.0,73.75,25.62,32.8,20.64,2.54,24.68
1990-02-27,0.0,72.31,24.51,31.98,18.72,2.47,27.13
1990-02-28,0.0,77.69,24.3,31.94,17.29,2.49,24.11
1990-03-01,0.0,76.56,24.67,31.66,19.95,2.61,18.53
1990-03-02,0.0,77.81,24.83,31.47,19.83,2.07,19.22
1990-03-03,0.0,78.44,25.15,31.65,20.55,1.8,21.09
1990-03-04,0.0,77.69,25.27,31.2,21.13,1.79,18.71
1990-03-05,0.0,76.88,25.72,32.29,20.92,1.88,20.01
1990-03-06,0.0,75.81,26.3,32.73,21.28,1.75,24.49
1990-03-07,0.0,70.31,26.52,33.88,20.88,2.48,26.18
1990-03-08,0.0,71.19,25.87,32.52,20.98,2.39,23.91
1990-03-09,0.0,71.75,26.06,33.25,21.08,2.2,19.96
1990-03-10,0.0,76.12,25.87,31.93,21.5,2.27,19.52
1990-03-11,0.0,76.5,25.33,30.76,21.65,1.91,21.83
1990-03-12,6.0522212982177725,69.31,26.6,34.45,20.26,1.83,24.52
1990-03-13,0.0,67.19,27.37,35.78,20.05,1.84,24.22
1990-03-14,0.0,70.19,27.26,34.08,22.32,2.01,24.61
1990-03-15,0.0,69.25,27.99,36.04,22.07,2.45,24.18
1990-03-16,0.0,69.06,27.69,35.9,21.26,2.51,22.95
1990-03-17,0.0,66.06,27.69,35.73,21.48,2.65,21.57
1990-03-18,0.0,66.06,27.01,35.17,20.66,2.62,23.73
1990-03-19,0.0,65.81,26.9,35.48,20.04,2.26,24.04
1990-03-20,0.0,63.56,26.44,35.23,19.41,2.13,25.89
1990-03-21,0.0,60.81,26.08,35.15,18.9,2.16,25.19
1990-03-22,0.0,60.62,26.21,36.13,17.68,2.09,24.0
1990-03-23,0.0,68.06,25.87,33.45,19.12,1.98,24.41
1990-03-24,5.661311626434326,66.88,26.62,34.87,20.05,1.47,25.0
1990-03-25,5.661311626434326,65.75,27.91,35.85,22.02,2.14,22.81
1990-03-26,29.62441825866699,68.19,27.48,34.6,22.31,2.47,19.79
1990-03-27,0.0,63.38,27.46,35.51,21.91,2.57,19.22
1990-03-28,0.0,69.06,27.18,34.55,21.35,2.29,22.21
1990-03-29,0.0,74.5,26.28,32.73,22.26,2.45,19.36
1990-03-30,0.0,79.44,25.4,31.37,21.29,2.88,12.41
1990-03-31,0.0,74.94,25.42,32.01,21.15,2.35,20.03
1990-04-01,0.0,69.44,25.17,32.66,19.94,1.77,20.98
1990-04-02,0.0,69.75,24.54,31.95,18.23,1.66,21.54
1990-04-03,0.0,66.31,26.55,35.31,18.92,1.61,23.16
1990-04-04,0.0,66.38,27.37,35.76,20.22,1.85,21.41
1990-04-05,0.0,71.62,26.52,32.3,21.81,1.45,21.7
1990-04-06,0.0,66.75,27.16,35.47,20.58,2.14,23.14
1990-04-07,0.0,67.75,26.94,35.32,20.67,2.32,23.29
1990-04-08,0.0,67.75,26.37,34.44,20.31,2.64,21.58
1990-04-09,0.0,65.69,26.48,35.24,19.0,2.47,23.86
1990-04-10,0.0,66.19,27.18,35.72,20.08,2.34,23.03
1990-04-11,0.0,71.0,27.19,35.02,21.31,2.24,19.78
1990-04-12,17.87794303894043,74.81,26.26,33.19,21.65,2.54,17.88
1990-04-13,0.0,71.5,25.12,32.69,19.03,2.48,20.17
1990-04-14,0.0,69.88,25.33,33.4,19.54,2.28,19.55
1990-04-15,0.0,68.12,25.16,32.6,18.05,2.13,21.28
1990-04-16,0.0,65.44,25.98,33.43,20.62,2.53,20.06
1990-04-17,0.0,69.38,24.35,30.65,18.87,2.0,21.19
1990-04-18,0.0,71.12,25.45,33.47,19.51,2.12,20.48
1990-04-19,0.0,74.25,24.37,31.5,19.52,2.31,19.23
1990-04-20,0.0,80.44,23.6,30.53,18.91,2.05,11.93
1990-04-21,0.0,81.12,23.88,31.07,19.69,2.51,14.55
1990-04-22,43.39944839477539,81.06,23.37,29.63,18.62,1.96,9.67
1990-04-23,0.0,83.0,23.69,29.26,20.13,2.23,16.37
1990-04-24,0.0,81.06,24.29,29.87,20.54,2.5,18.33
1990-04-25,0.0,78.56,24.35,30.33,21.01,2.73,19.61
1990-04-26,0.0,78.31,24.04,29.96,19.7,2.41,13.9
